X,Y,K,PhysicalChannel,OEChannel,ContactShape,ContactSize
0.0,110,1,4,51,square,15
17.32,100,1,9,58,square,15
0.0,90,1,3,52,square,15
17.32,80,1,10,57,square,15
0.0,70,1,2,49,square,15
17.32,60,1,11,60,square,15
0.0,50,1,1,50,square,15
17.32,40,1,12,59,square,15
0.0,30,1,5,54,square,15
17.32,20,1,8,55,square,15
0.0,10,1,6,53,square,15
17.32,0,1,7,56,square,15
200.0,110,2,16,63,square,15
217.32,100,2,21,38,square,15
200.0,90,2,15,64,square,15
217.32,80,2,22,39,square,15
200.0,70,2,14,61,square,15
217.32,60,2,23,41,square,15
200.0,50,2,13,62,square,15
217.32,40,2,24,42,square,15
200.0,30,2,17,33,square,15
217.32,20,2,20,37,square,15
200.0,10,2,18,34,square,15
217.32,0,2,19,35,square,15
400.0,-100,3,35,22,circle,15
400.0,-200,3,30,44,circle,15
400.0,-300,3,36,18,circle,15
400.0,-400,3,29,48,circle,15
400.0,-500,3,37,17,circle,15
400.0,-600,3,28,47,circle,15
400.0,-700,3,38,20,circle,15
400.0,-800,3,27,46,circle,15
400.0,-900,3,39,19,circle,15
400.0,-1000,3,26,45,circle,15
400.0,-1100,3,40,21,circle,15
400.0,-1200,3,25,43,circle,15
400.0,1500,6,33,30,circle,15
400.0,1000,6,32,36,circle,15
400.0,500,6,34,26,circle,15
400.0,0,6,31,40,circle,15
600.0,110,4,44,28,square,15
617.32,100,4,49,1,square,15
600.0,90,4,43,25,square,15
617.32,80,4,50,2,square,15
600.0,70,4,42,23,square,15
617.32,60,4,51,3,square,15
600.0,50,4,41,24,square,15
617.32,40,4,52,4,square,15
600.0,30,4,45,27,square,15
617.32,20,4,48,31,square,15
600.0,10,4,46,29,square,15
617.32,0,4,47,32,square,15
800.0,110,5,56,8,square,15
817.32,100,5,61,13,square,15
800.0,90,5,55,7,square,15
817.32,80,5,62,14,square,15
800.0,70,5,54,6,square,15
817.32,60,5,63,15,square,15
800.0,50,5,53,5,square,15
817.32,40,5,64,16,square,15
800.0,30,5,57,9,square,15
817.32,20,5,60,12,square,15
800.0,10,5,58,10,square,15
817.32,0,5,59,11,square,15
